code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.605277,2026-07-17,44.5207,2026-07-20,40.959,STOP,2,-0.08,-0.083503,25
sh.605277,2026-07-22,41.196,2026-08-05,45.2763,MA,11,0.099046,0.095184,144
sh.605286,2024-01-26,23.9197,2024-01-31,21.9636,STOP,4,-0.08178,-0.085202,62
sh.605286,2025-04-10,37.2825,2025-04-24,39.6644,MA,11,0.063889,0.059952,588
sh.605286,2026-06-12,30.712,2026-06-24,28.2551,STOP,8,-0.08,-0.083465,33
sh.605286,2026-07-24,22.823,2026-08-04,23.9172,MA,8,0.047945,0.044278,132
sh.605287,2022-05-05,22.36,2022-05-12,25.46,MA,6,0.13864,0.134814,129
sh.605287,2024-02-07,15.6112,2024-02-27,18.8073,MA,9,0.204732,0.200857,1493
sh.605287,2025-04-10,16.522,2025-04-22,17.9731,MA,9,0.087826,0.084186,588
sh.605287,2026-06-16,59.2493,2026-06-24,61.1745,MA,6,0.032493,0.028256,92
sh.605288,2022-03-17,60.5238,2022-04-11,55.6819,STOP,16,-0.08,-0.084032,199
sh.605288,2022-04-28,44.2616,2022-05-20,48.1504,MA,14,0.087859,0.084098,1476
sh.605288,2024-02-07,42.9538,2024-02-08,39.5175,STOP,2,-0.08,-0.083544,1493
sh.605288,2024-02-20,45.0438,2024-02-27,50.5788,MA,6,0.12288,0.119086,305
sh.605288,2026-03-31,132.5018,2026-04-13,121.9016,STOP,9,-0.08,-0.083135,26
sh.605289,2022-05-09,21.24,2022-05-23,22.96,MA,11,0.080979,0.077181,34
sh.605289,2024-04-18,34.0085,2024-04-26,38.9108,MA,7,0.144148,0.139961,204
sh.605289,2025-04-10,26.8686,2025-04-22,29.7492,MA,9,0.107212,0.10331,588
sh.605289,2026-03-31,132.3924,2026-04-13,144.0311,MA,9,0.087911,0.084524,26
sh.605298,2024-02-23,14.323,2024-02-27,15.4311,MA,3,0.077364,0.073584,69
sh.605298,2025-04-10,21.5375,2025-04-30,23.0438,MA,15,0.069942,0.066176,588
sh.605298,2026-07-15,82.7462,2026-07-17,76.1265,STOP,3,-0.08,-0.083589,157
sh.605299,2021-05-07,12.28,2021-05-19,14.01,MA,9,0.140879,0.13715,23
sh.605299,2022-02-07,15.8009,2022-02-11,14.5368,STOP,5,-0.08,-0.083435,43
sh.605299,2022-04-28,9.6927,2022-05-19,10.1752,MA,13,0.049784,0.046177,1476
sh.605299,2024-02-20,7.6267,2024-02-26,8.5157,MA,5,0.116573,0.11289,305
sh.605300,2021-08-03,23.8,2021-08-05,21.896,STOP,3,-0.08,-0.08343,25
