code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sh.600197,2020-07-07,55.8885,2020-07-09,58.6829,TP,3,0.05,0.046913,0.1118,-0.0122,0.7389,-0.0063,1,0.1118
sh.603767,2020-07-09,12.066,2020-07-14,12.6693,TP,4,0.05,0.046913,0.1626,0.0332,0.5438,-0.0062,7,0.1626
sz.002775,2020-07-09,20.8657,2020-07-14,21.9089,TP,4,0.05,0.046913,0.1377,0.0194,0.6266,0.0,7,0.1377
sh.600535,2020-07-09,160.068,2020-07-13,168.0714,TP,3,0.05,0.046913,0.121,-0.0034,0.7026,-0.0034,7,0.121
sz.002278,2020-07-09,12.5353,2020-07-10,13.1621,TP,2,0.05,0.046913,0.0991,0.0285,0.7095,0.0,7,0.0991
sz.002112,2020-07-09,21.5775,2020-07-10,22.6564,TP,2,0.05,0.046912,0.0922,0.0524,0.6909,-0.0071,7,0.0922
sz.002612,2020-07-09,25.979,2020-07-10,27.278,TP,2,0.05,0.046913,0.0785,0.0372,0.748,-0.0083,7,0.0785
sh.600620,2020-07-09,2171.5251,2020-07-15,2280.1013,TP,5,0.05,0.046913,0.0772,0.0573,0.7212,0.0015,7,0.0772
sz.002951,2020-07-10,17.7256,2020-07-16,17.1939,SL,5,-0.03,-0.032947,0.1855,-0.1331,0.7359,0.0,6,0.1855
sh.600854,2020-07-10,20.4216,2020-07-14,19.809,SL,3,-0.03,-0.032948,0.1347,0.0496,0.5887,-0.0023,6,0.1347
sh.600639,2020-07-10,76.6578,2020-07-15,74.3581,SL,4,-0.03,-0.032948,0.1294,0.0125,0.6577,0.0,6,0.1294
sh.600543,2020-07-10,11.7287,2020-07-13,12.3152,TP,2,0.05,0.046913,0.1135,0.0192,0.6876,-0.0047,6,0.1135
sh.600551,2020-07-10,26.9593,2020-07-14,28.3073,TP,3,0.05,0.046912,0.0879,0.0568,0.695,-0.0122,6,0.0879
sh.600748,2020-07-10,28.4778,2020-07-15,27.6235,SL,4,-0.03,-0.032947,0.0777,0.0417,0.7433,-0.0067,6,0.0777
sh.603860,2020-08-04,29.558,2020-08-10,31.0359,TP,5,0.05,0.046913,0.1127,0.0249,0.681,-0.0038,2,0.1127
