code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.601636,2022-03-17,42.0101,2022-03-31,44.777,MA,11,0.065863,0.062074,122
sh.601636,2022-04-28,35.4302,2022-05-18,37.2523,MA,12,0.051429,0.04744,837
sh.601677,2022-03-17,39.9216,2022-03-22,44.3672,MA,4,0.111358,0.107438,122
sh.601677,2022-04-28,33.7022,2022-05-11,38.9362,MA,7,0.1553,0.151083,837
sh.601678,2018-10-22,16.5121,2018-11-02,17.9878,MA,10,0.089372,0.085729,282
sh.601678,2022-04-28,21.9591,2022-05-19,23.4343,MA,13,0.067179,0.063439,837
sh.601689,2024-02-07,75.3244,2024-02-23,82.8959,MA,7,0.100519,0.096541,986
sh.601689,2025-04-10,112.0089,2025-04-28,117.5291,MA,13,0.049284,0.045818,463
sh.601698,2022-04-28,9.2315,2022-05-11,10.6047,MA,7,0.148751,0.144945,837
sh.601698,2025-01-07,19.0058,2025-01-22,20.0045,MA,12,0.052548,0.048917,128
sh.601700,2018-06-21,18.9756,2018-07-17,19.3545,MA,19,0.019967,0.016383,348
sh.601700,2020-02-05,29.9368,2020-02-19,34.9364,MA,11,0.167002,0.163138,525
sh.601700,2022-04-28,25.5133,2022-05-18,27.5469,MA,12,0.07971,0.075784,837
sh.601700,2024-02-07,22.9659,2024-02-22,27.272,MA,6,0.1875,0.18363,986
sh.601702,2022-04-28,7.219,2022-05-16,8.0938,MA,10,0.12117,0.117423,837
sh.601718,2018-02-13,5.3066,2018-03-06,5.7295,MA,11,0.079681,0.076015,103
sh.601718,2019-05-08,4.1615,2019-06-12,4.0734,MA,25,-0.021164,-0.024634,200
sh.601777,2020-02-05,2.7133,2020-02-18,3.1948,MA,10,0.177489,0.173699,525
sh.601789,2025-04-09,11.8964,2025-04-28,13.1512,MA,14,0.105485,0.101776,136
sh.601798,2022-04-28,5.8018,2022-05-18,6.3497,MA,12,0.094444,0.090789,837
sh.601798,2024-04-18,6.4034,2024-05-08,6.8117,MA,12,0.063758,0.060122,100
sh.601798,2025-04-09,6.0166,2025-04-21,7.6282,MA,9,0.267857,0.263917,136
sh.601869,2019-05-08,34.7587,2019-05-29,37.3522,MA,16,0.074614,0.070563,200
sh.601872,2020-02-05,6.3416,2020-03-05,6.8454,MA,22,0.079457,0.075787,525
sh.601877,2022-04-28,54.9722,2022-05-11,62.5399,MA,7,0.137664,0.133138,837
sh.601878,2018-02-09,13.24,2018-03-07,13.7,MA,14,0.034743,0.031112,234
sh.601878,2019-05-09,9.0067,2019-06-12,9.3548,MA,24,0.038649,0.035081,144
sh.601881,2019-05-08,10.3076,2019-06-12,10.9827,MA,25,0.065497,0.06182,200
sh.601882,2019-05-09,7.6855,2019-05-30,7.9187,MA,16,0.030343,0.026797,144
sh.601882,2025-04-10,21.1022,2025-05-07,21.8589,MA,17,0.035858,0.03212,463
sh.601886,2022-04-28,11.83,2022-05-11,14.8064,MA,7,0.251599,0.247665,837
sh.601890,2018-06-21,11.9353,2018-07-17,12.0191,MA,19,0.007026,0.003468,348
sh.601890,2024-01-24,22.6489,2024-02-02,20.837,STOP,8,-0.08,-0.083484,148
sh.601890,2024-02-07,20.481,2024-02-22,22.6204,MA,6,0.104457,0.100579,986
sh.601908,2018-10-22,12.37,2018-11-05,13.4219,MA,11,0.085034,0.081396,282
sh.601908,2019-05-08,14.3896,2019-05-17,18.4709,MA,8,0.283626,0.279542,200
sh.601908,2022-04-28,22.0303,2022-05-16,25.3435,MA,10,0.150391,0.14653,837
sh.601908,2024-02-07,14.0797,2024-02-26,16.7223,MA,8,0.187692,0.183896,986
sh.601801,2019-05-08,13.863,2019-06-13,13.352,TIME,26,-0.036859,-0.040334,200
sh.601808,2020-02-05,18.5125,2020-02-14,20.7568,MA,8,0.121231,0.117469,525
sh.601828,2022-04-28,5.8608,2022-05-24,6.4011,MA,16,0.092184,0.088542,837
sh.601828,2024-02-07,3.7416,2024-02-19,4.5191,MA,3,0.207792,0.203953,986
sh.601828,2025-01-07,3.693,2025-02-10,3.7173,MA,19,0.006579,0.003066,128
sh.601858,2022-04-28,7.667,2022-05-17,8.5069,MA,11,0.109551,0.105883,837
sh.601858,2025-01-07,21.471,2025-01-22,22.7226,MA,12,0.058294,0.054542,128
sh.601860,2020-02-05,4.362,2020-02-21,4.8693,MA,13,0.116279,0.112563,525
sh.601865,2024-02-07,19.2161,2024-02-28,21.7776,MA,10,0.133298,0.129557,986
sh.601865,2025-04-10,16.7781,2025-04-29,15.4359,STOP,14,-0.08,-0.083572,463
sh.601919,2020-02-05,4.2445,2020-02-21,4.6617,MA,13,0.09828,0.094608,525
sh.601929,2022-04-28,4.1072,2022-05-23,4.4567,MA,15,0.085106,0.081464,837
sh.601929,2025-04-09,3.5173,2025-05-06,3.8232,MA,17,0.086957,0.083311,136
sh.601956,2024-02-07,4.0037,2024-02-27,4.898,MA,9,0.223377,0.219501,986
sh.601958,2020-02-05,8.6719,2020-02-17,9.6459,MA,9,0.112324,0.108608,525
sh.601965,2019-05-09,11.7992,2019-05-27,12.5803,MA,13,0.066207,0.062548,144
sh.601966,2022-03-17,23.2227,2022-03-31,24.5458,MA,11,0.056971,0.053309,122
sh.601969,2018-02-13,6.784,2018-03-07,7.5299,MA,12,0.109955,0.106238,103
sh.601969,2020-02-05,4.6873,2020-02-21,5.3123,MA,13,0.133333,0.129617,525
sh.601969,2022-03-17,9.2234,2022-04-07,9.3746,MA,14,0.016393,0.012785,122
sh.601969,2022-04-28,7.2779,2022-05-18,8.0239,MA,12,0.102493,0.098782,837
sh.601990,2018-10-22,7.1,2018-10-24,8.44,MA,3,0.188732,0.184943,282
sh.601990,2019-05-09,11.16,2019-05-30,11.6,MA,16,0.039427,0.035747,144
sh.601992,2018-02-13,9.986,2018-02-27,11.555,MA,6,0.157113,0.153375,103
sh.601992,2018-06-21,6.8482,2018-07-11,7.1662,MA,15,0.04644,0.042827,348
sh.601996,2024-02-07,9.1281,2024-02-23,10.7116,MA,7,0.173469,0.169614,986
sh.601996,2025-01-08,9.9186,2025-02-06,10.0178,MA,16,0.01,0.006477,298
sh.601999,2018-06-21,5.5359,2018-07-06,5.8567,MA,12,0.057944,0.054353,348
sh.601999,2022-04-28,5.9179,2022-05-23,6.2479,MA,15,0.055762,0.052122,837
sh.601999,2024-02-07,5.6786,2024-02-08,5.1644,STOP,2,-0.090551,-0.093951,986
sh.601999,2025-01-08,6.7708,2025-01-21,7.2116,MA,10,0.065109,0.061456,298
sh.603000,2018-06-21,35.4659,2018-07-06,32.6286,STOP,12,-0.08,-0.08379,348
sh.603000,2022-03-17,46.4021,2022-04-07,47.8839,MA,14,0.031934,0.028309,122
